ENSEMBL_GENE	SYMBOL	ENSEMBL_PROTEIN	ENSEMBL_TRANSCRIPT
ENSG00000101096	NFATC2	ENSP00000379330	ENST00000396009
ENSG00000101115	SALL4	ENSP00000217086	ENST00000217086
ENSG00000132819	RBM38	ENSP00000348538	ENST00000356208
ENSG00000087460	GNAS	ENSP00000360141	ENST00000371100
ENSG00000101213	PTK6	ENSP00000442460	ENST00000542869
ENSG00000159216	RUNX1	ENSP00000300305	ENST00000300305
ENSG00000160201	U2AF1	ENSP00000291552	ENST00000291552
ENSG00000070371	CLTCL1	ENSP00000441158	ENST00000427926
ENSG00000128191	DGCR8	ENSP00000263209	ENST00000351989
ENSG00000099949	LZTR1	ENSP00000496779	ENST00000646124
ENSG00000100030	MAPK1	ENSP00000215832	ENST00000215832
ENSG00000186716	BCR	ENSP00000303507	ENST00000305877
ENSG00000099956	SMARCB1	ENSP00000340883	ENST00000344921
ENSG00000099994	SUSD2	ENSP00000351075	ENST00000358321
ENSG00000183765	CHEK2	ENSP00000372023	ENST00000382580
ENSG00000183579	ZNRF3	ENSP00000443824	ENST00000544604
ENSG00000182944	EWSR1	ENSP00000400142	ENST00000414183
ENSG00000186575	NF2	ENSP00000344666	ENST00000338641
ENSG00000100345	MYH9	ENSP00000216181	ENST00000216181
ENSG00000100393	EP300	ENSP00000263253	ENST00000263253
ENSG00000196220	SRGAP3	ENSP00000373347	ENST00000383836
ENSG00000144554	FANCD2	ENSP00000287647	ENST00000287647
ENSG00000134086	VHL	ENSP00000256474	ENST00000256474
ENSG00000197548	ATG7	ENSP00000346437	ENST00000354449
ENSG00000132155	RAF1	ENSP00000401888	ENST00000442415
ENSG00000163520	FBLN2	ENSP00000384169	ENST00000404922
ENSG00000154783	FGD5	ENSP00000285046	ENST00000285046
ENSG00000163513	TGFBR2	ENSP00000351905	ENST00000359013
ENSG00000172936	MYD88	ENSP00000391753	ENST00000421516
ENSG00000168036	CTNNB1	ENSP00000495360	ENST00000645320
ENSG00000181555	SETD2	ENSP00000386759	ENST00000409792
ENSG00000067560	RHOA	ENSP00000400175	ENST00000418115
ENSG00000114353	GNAI2	ENSP00000312999	ENST00000313601
ENSG00000114388	NPRL2	ENSP00000232501	ENST00000232501
ENSG00000163930	BAP1	ENSP00000417132	ENST00000460680
ENSG00000163939	PBRM1	ENSP00000386593	ENST00000409057
ENSG00000163932	PRKCD	ENSP00000331602	ENST00000330452
ENSG00000157388	CACNA1D	ENSP00000288139	ENST00000288139
ENSG00000189283	FHIT	ENSP00000418582	ENST00000492590
ENSG00000114861	FOXP1	ENSP00000484803	ENST00000615603
ENSG00000185008	ROBO2	ENSP00000417335	ENST00000487694
ENSG00000175161	CADM2	ENSP00000384193	ENST00000405615
ENSG00000044524	EPHA3	ENSP00000337451	ENST00000336596
ENSG00000114354	TFG	ENSP00000502734	ENST00000674615
ENSG00000114423	CBLB	ENSP00000377598	ENST00000394030
ENSG00000181722	ZBTB20	ENSP00000501561	ENST00000675478
ENSG00000051341	POLQ	ENSP00000264233	ENST00000264233
ENSG00000179348	GATA2	ENSP00000345681	ENST00000341105
ENSG00000206384	COL6A6	ENSP00000351310	ENST00000358511
ENSG00000051382	PIK3CB	ENSP00000501150	ENST00000674063
ENSG00000183770	FOXL2	ENSP00000497217	ENST00000648323
ENSG00000155903	RASA2	ENSP00000286364	ENST00000286364
ENSG00000175054	ATR	ENSP00000343741	ENST00000350721
ENSG00000163655	GMPS	ENSP00000419851	ENST00000496455
ENSG00000085276	MECOM	ENSP00000264674	ENST00000264674
ENSG00000177565	TBL1XR1	ENSP00000413251	ENST00000457928
ENSG00000121879	PIK3CA	ENSP00000263967	ENST00000263967
ENSG00000058056	USP13	ENSP00000263966	ENST00000263966
ENSG00000172578	KLHL6	ENSP00000341342	ENST00000341319
ENSG00000073803	MAP3K13	ENSP00000265026	ENST00000265026
ENSG00000244405	ETV5	ENSP00000306894	ENST00000306376
ENSG00000156976	EIF4A2	ENSP00000326381	ENST00000323963
ENSG00000113916	BCL6	ENSP00000384371	ENST00000406870
ENSG00000073282	TP63	ENSP00000264731	ENST00000264731
ENSG00000180611	MB21D2	ENSP00000376246	ENST00000392452
ENSG00000176945	MUC20	ENSP00000414350	ENST00000447234
ENSG00000072274	TFRC	ENSP00000376197	ENST00000392396
ENSG00000182903	ZNF721	ENSP00000428878	ENST00000511833
ENSG00000068078	FGFR3	ENSP00000339824	ENST00000340107
ENSG00000109685	NSD2	ENSP00000372351	ENST00000382895
ENSG00000157765	SLC34A2	ENSP00000371483	ENST00000382051
